employee_completion_rate,employee_failure_rate,employee_rejection_rate,current_active_tasks,task_priority,category_match_rate,high_priority_success_rate,is_successful
0.562,0.157,0.112,11,1,0.493,0.353,0
0.769,0.151,0.08,5,3,0.474,0.78,0
0.673,0.283,0.044,12,1,0.899,0.593,0
0.693,0.131,0.176,12,1,0.43,1.0,0
0.409,0.348,0.143,3,2,0.873,0.821,1
0.409,0.035,0.26,3,4,0.378,0.975,0
0.341,0.311,0.01,13,3,0.578,0.474,0
0.63,0.236,0.134,10,2,0.229,0.298,0
0.705,0.071,0.224,6,3,0.843,0.605,0
0.665,0.144,0.191,13,4,0.762,0.299,0
0.314,0.066,0.266,2,4,0.577,0.594,0
0.661,0.191,0.148,10,4,0.123,0.416,0
0.642,0.156,0.202,2,4,0.533,0.593,1
0.449,0.254,0.1,5,3,0.303,0.96,0
0.427,0.079,0.151,8,1,0.472,0.431,0
0.428,0.085,0.004,0,1,0.871,0.995,0
0.513,0.017,0.002,4,4,0.793,0.383,1
0.667,0.129,0.072,0,4,0.318,0.366,0
0.602,0.224,0.03,0,1,0.986,0.636,1
0.504,0.343,0.078,2,2,0.913,0.874,1
0.695,0.255,0.051,2,4,0.576,0.8,1
0.398,0.174,0.009,3,1,0.577,0.779,0
0.435,0.329,0.235,2,2,0.911,0.426,0
0.556,0.288,0.002,5,1,0.673,0.218,0
0.511,0.307,0.182,11,2,0.583,0.329,0
0.768,0.191,0.041,14,3,0.774,0.48,0
0.44,0.104,0.274,3,2,0.312,0.977,0
0.66,0.021,0.268,7,4,0.891,0.936,0
0.595,0.242,0.163,0,2,0.578,0.361,0
0.333,0.049,0.202,7,2,0.643,0.78,0
0.725,0.121,0.002,10,4,0.181,0.663,0
0.419,0.213,0.295,0,3,0.379,0.24,0
0.346,0.226,0.263,10,2,0.484,0.497,0
0.655,0.163,0.182,0,3,0.473,0.589,1
0.787,0.054,0.159,6,1,0.8,0.734,1
0.772,0.135,0.092,0,1,0.354,0.436,0
0.499,0.24,0.261,8,4,0.264,0.947,0
0.368,0.388,0.087,13,3,0.624,0.562,0
0.629,0.235,0.136,14,4,0.654,0.399,0
0.604,0.366,0.03,7,4,0.209,0.453,0
0.385,0.305,0.277,12,2,0.102,0.802,0
0.647,0.237,0.042,14,1,0.926,0.712,0
0.324,0.077,0.067,0,4,0.172,0.794,0
0.683,0.195,0.122,1,2,0.908,0.434,1
0.481,0.249,0.229,1,2,0.459,0.461,1
0.642,0.202,0.156,1,3,0.688,0.517,0
0.518,0.196,0.07,5,1,0.267,0.351,0
0.664,0.211,0.0,3,3,0.842,0.753,1
0.654,0.128,0.218,7,3,0.262,0.463,0
0.429,0.208,0.296,0,4,0.448,0.461,0
0.752,0.061,0.187,14,3,0.314,0.415,0
0.647,0.247,0.106,9,4,0.854,0.562,0
0.735,0.057,0.208,13,3,0.873,0.818,0
0.855,0.031,0.113,3,2,0.435,0.868,1
0.684,0.166,0.15,9,1,0.377,0.844,0
0.699,0.195,0.106,10,1,0.796,0.697,0
0.362,0.175,0.134,4,1,0.891,0.424,0
0.437,0.111,0.233,8,2,0.662,0.788,0
0.332,0.223,0.158,4,2,0.935,0.231,0
0.528,0.139,0.095,12,3,0.445,0.839,0
0.559,0.365,0.076,10,3,0.237,0.824,0
0.49,0.369,0.011,2,3,0.262,0.736,0
0.701,0.16,0.139,10,3,0.703,0.278,0
